ds,yhat,yhat_lower,yhat_upper,sku,type
2022-01-01,0.0,0.0,0.0,Cannibalized,actual
2022-01-02,9.0,9.0,9.0,Cannibalized,actual
2022-01-03,12.0,12.0,12.0,Cannibalized,actual
2022-01-04,6.0,6.0,6.0,Cannibalized,actual
2022-01-05,12.0,12.0,12.0,Cannibalized,actual
2022-01-06,11.0,11.0,11.0,Cannibalized,actual
2022-01-07,7.0,7.0,7.0,Cannibalized,actual
2022-01-08,14.0,14.0,14.0,Cannibalized,actual
2022-01-09,16.0,16.0,16.0,Cannibalized,actual
2022-01-10,9.0,9.0,9.0,Cannibalized,actual
2022-01-11,8.0,8.0,8.0,Cannibalized,actual
2022-01-12,7.0,7.0,7.0,Cannibalized,actual
2022-01-13,12.0,12.0,12.0,Cannibalized,actual
2022-01-14,12.0,12.0,12.0,Cannibalized,actual
2022-01-15,15.0,15.0,15.0,Cannibalized,actual
2022-01-16,12.0,12.0,12.0,Cannibalized,actual
2022-01-17,8.0,8.0,8.0,Cannibalized,actual
2022-01-18,9.0,9.0,9.0,Cannibalized,actual
2022-01-19,12.0,12.0,12.0,Cannibalized,actual
2022-01-20,8.0,8.0,8.0,Cannibalized,actual
2022-01-21,9.0,9.0,9.0,Cannibalized,actual
2022-01-22,12.0,12.0,12.0,Cannibalized,actual
2022-01-23,8.0,8.0,8.0,Cannibalized,actual
2022-01-24,12.0,12.0,12.0,Cannibalized,actual
2022-01-25,11.0,11.0,11.0,Cannibalized,actual
2022-01-26,11.0,11.0,11.0,Cannibalized,actual
2022-01-27,15.0,15.0,15.0,Cannibalized,actual
2022-01-28,16.0,16.0,16.0,Cannibalized,actual
2022-01-29,11.0,11.0,11.0,Cannibalized,actual
2022-01-30,14.0,14.0,14.0,Cannibalized,actual
2022-01-31,9.0,9.0,9.0,Cannibalized,actual
2022-02-01,11.0,11.0,11.0,Cannibalized,actual
2022-02-02,13.0,13.0,13.0,Cannibalized,actual
2022-02-03,9.0,9.0,9.0,Cannibalized,actual
2022-02-04,12.0,12.0,12.0,Cannibalized,actual
2022-02-05,13.0,13.0,13.0,Cannibalized,actual
2022-02-06,13.0,13.0,13.0,Cannibalized,actual
2022-02-07,18.0,18.0,18.0,Cannibalized,actual
2022-02-08,12.0,12.0,12.0,Cannibalized,actual
2022-02-09,9.0,9.0,9.0,Cannibalized,actual
2022-02-10,15.0,15.0,15.0,Cannibalized,actual
2022-02-11,15.0,15.0,15.0,Cannibalized,actual
2022-02-12,15.0,15.0,15.0,Cannibalized,actual
2022-02-13,13.0,13.0,13.0,Cannibalized,actual
2022-02-14,13.0,13.0,13.0,Cannibalized,actual
2022-02-15,13.0,13.0,13.0,Cannibalized,actual
2022-02-16,14.0,14.0,14.0,Cannibalized,actual
2022-02-17,13.0,13.0,13.0,Cannibalized,actual
2022-02-18,7.0,7.0,7.0,Cannibalized,actual
2022-02-19,16.0,16.0,16.0,Cannibalized,actual
2022-02-20,10.0,10.0,10.0,Cannibalized,actual
2022-02-21,8.0,8.0,8.0,Cannibalized,actual
2022-02-22,11.0,11.0,11.0,Cannibalized,actual
2022-02-23,14.0,14.0,14.0,Cannibalized,actual
2022-02-24,10.0,10.0,10.0,Cannibalized,actual
2022-02-25,13.0,13.0,13.0,Cannibalized,actual
2022-02-26,12.0,12.0,12.0,Cannibalized,actual
2022-02-27,16.0,16.0,16.0,Cannibalized,actual
2022-02-28,8.0,8.0,8.0,Cannibalized,actual
2022-03-01,11.0,11.0,11.0,Cannibalized,actual
2022-03-02,9.0,9.0,9.0,Cannibalized,actual
2022-03-03,13.0,13.0,13.0,Cannibalized,actual
2022-03-04,12.0,12.0,12.0,Cannibalized,actual
2022-03-05,13.0,13.0,13.0,Cannibalized,actual
2022-03-06,12.0,12.0,12.0,Cannibalized,actual
2022-03-07,11.0,11.0,11.0,Cannibalized,actual
2022-03-08,14.0,14.0,14.0,Cannibalized,actual
2022-03-09,7.0,7.0,7.0,Cannibalized,actual
2022-03-10,15.0,15.0,15.0,Cannibalized,actual
2022-03-11,12.0,12.0,12.0,Cannibalized,actual
2022-03-12,11.0,11.0,11.0,Cannibalized,actual
2022-03-13,12.0,12.0,12.0,Cannibalized,actual
2022-03-14,10.0,10.0,10.0,Cannibalized,actual
2022-03-15,11.0,11.0,11.0,Cannibalized,actual
2022-03-16,12.0,12.0,12.0,Cannibalized,actual
2022-03-17,14.0,14.0,14.0,Cannibalized,actual
2022-03-18,9.0,9.0,9.0,Cannibalized,actual
2022-03-19,13.0,13.0,13.0,Cannibalized,actual
2022-03-20,12.0,12.0,12.0,Cannibalized,actual
2022-03-21,11.0,11.0,11.0,Cannibalized,actual
2022-03-22,12.0,12.0,12.0,Cannibalized,actual
2022-03-23,7.0,7.0,7.0,Cannibalized,actual
2022-03-24,11.0,11.0,11.0,Cannibalized,actual
2022-03-25,12.0,12.0,12.0,Cannibalized,actual
2022-03-26,15.0,15.0,15.0,Cannibalized,actual
2022-03-28,5.0,5.0,5.0,Cannibalized,actual
2022-03-29,9.0,9.0,9.0,Cannibalized,actual
2022-03-30,13.0,13.0,13.0,Cannibalized,actual
2022-03-31,10.0,10.0,10.0,Cannibalized,actual
2022-04-01,13.0,13.0,13.0,Cannibalized,actual
2022-04-02,13.0,13.0,13.0,Cannibalized,actual
2022-04-03,16.0,16.0,16.0,Cannibalized,actual
2022-04-04,10.0,10.0,10.0,Cannibalized,actual
2022-04-05,10.0,10.0,10.0,Cannibalized,actual
2022-04-06,11.0,11.0,11.0,Cannibalized,actual
2022-04-07,8.0,8.0,8.0,Cannibalized,actual
2022-04-08,8.0,8.0,8.0,Cannibalized,actual
2022-04-09,11.0,11.0,11.0,Cannibalized,actual
2022-04-10,9.0,9.0,9.0,Cannibalized,actual
2022-04-11,9.0,9.0,9.0,Cannibalized,actual
2022-04-12,13.0,13.0,13.0,Cannibalized,actual
2022-04-13,9.0,9.0,9.0,Cannibalized,actual
2022-04-14,9.0,9.0,9.0,Cannibalized,actual
2022-04-15,8.0,8.0,8.0,Cannibalized,actual
2022-04-16,11.0,11.0,11.0,Cannibalized,actual
2022-04-17,13.0,13.0,13.0,Cannibalized,actual
2022-04-18,9.0,9.0,9.0,Cannibalized,actual
2022-04-19,10.0,10.0,10.0,Cannibalized,actual
2022-04-20,21.0,21.0,21.0,Cannibalized,actual
2022-04-21,11.0,11.0,11.0,Cannibalized,actual
2022-04-22,10.0,10.0,10.0,Cannibalized,actual
2022-04-23,9.0,9.0,9.0,Cannibalized,actual
2022-04-24,13.0,13.0,13.0,Cannibalized,actual
2022-04-25,12.0,12.0,12.0,Cannibalized,actual
2022-04-26,13.0,13.0,13.0,Cannibalized,actual
