date,sku,category,units_sold,order_value,channel,country,customer_segment,cost_per_unit,margin_pct,promo_flag,event,ad_spend,web_traffic,review_score,discontinued_flag,launch_date,discontinue_date,archetype
2021-01-01,Flagship Growth,Tech,30.0,4209.785009637265,amazon,US,Older Adult,80,0.32,0,,282.4272058777543,1266.147527761817,4.3164882099674395,0,2021-01-01,,growth
2021-01-02,Flagship Growth,Tech,48.0,5834.347042013883,mobile,US,Young Pro,80,0.32,0,,310.09309261250144,1115.4512871982788,4.5983230255264305,0,2021-01-01,,growth
2021-01-03,Flagship Growth,Tech,43.0,5069.8634845167435,website,US,Young Pro,80,0.32,0,,321.66652047851034,980.3469175408081,4.309115835339899,0,2021-01-01,,growth
2021-01-04,Flagship Growth,Tech,31.0,3895.570427137808,website,US,Family,80,0.32,0,,240.74019657472022,1071.0264554669902,4.113097121904373,0,2021-01-01,,growth
2021-01-05,Flagship Growth,Tech,39.0,4802.055501543838,amazon,US,Young Pro,80,0.32,0,,346.57724011900916,1174.1843953338594,4.038182860955569,0,2021-01-01,,growth
2021-01-06,Flagship Growth,Tech,37.0,4675.808923650652,website,US,Family,80,0.32,0,,235.4355206699891,1100.4370675741807,4.394968238230029,0,2021-01-01,,growth
2021-01-07,Flagship Growth,Tech,31.0,4158.919441489381,website,US,Older Adult,80,0.32,0,,298.8593269898926,1022.3678040675974,4.215301715704203,0,2021-01-01,,growth
2021-01-08,Flagship Growth,Tech,31.0,3647.2482728556724,mobile,CA,Young Pro,80,0.32,0,,366.2719284933385,1081.759980417344,3.9785936178699335,0,2021-01-01,,growth
2021-01-09,Flagship Growth,Tech,48.0,5659.770012678276,website,US,Young Pro,80,0.32,0,,226.50959640221268,1177.1937304185772,4.312546987255558,0,2021-01-01,,growth
2021-01-10,Flagship Growth,Tech,51.0,6300.119894419181,amazon,US,Young Pro,80,0.32,0,,247.3429623945761,1068.1370174212068,4.200951543009379,0,2021-01-01,,growth
2021-01-11,Flagship Growth,Tech,45.0,5296.130079060028,website,US,Young Pro,80,0.32,0,,275.18236085235503,1283.9229453043913,4.2190063022335895,0,2021-01-01,,growth
2021-01-12,Flagship Growth,Tech,39.0,4582.75870527353,website,US,Young Pro,80,0.32,0,,248.00784496064546,1264.916556169795,4.140319224134613,0,2021-01-01,,growth
2021-01-13,Flagship Growth,Tech,38.0,4489.089292614726,website,US,Young Pro,80,0.32,0,,263.80950125748467,1249.0488258346807,4.406919720033116,0,2021-01-01,,growth
2021-01-14,Flagship Growth,Tech,36.0,4440.995137662894,website,CA,Family,80,0.32,0,,316.73403087873197,1177.0285198570539,4.1984882887959065,0,2021-01-01,,growth
2021-01-15,Flagship Growth,Tech,37.0,4363.023190633659,website,US,Young Pro,80,0.32,0,,248.12811644766586,1080.0461450653763,4.315806919440683,0,2021-01-01,,growth
2021-01-16,Flagship Growth,Tech,48.0,5655.876386276794,website,US,Young Pro,80,0.32,0,,401.7265689705491,912.9365378335895,4.278072170159107,0,2021-01-01,,growth
2021-01-17,Flagship Growth,Tech,47.0,5939.969727045902,website,US,Family,80,0.32,0,,280.39413409232566,1276.869784310963,4.398590852943091,0,2021-01-01,,growth
2021-01-18,Flagship Growth,Tech,37.0,4358.04789213801,website,US,Young Pro,80,0.32,0,,427.25284505387003,1088.3151405485848,4.258658220504173,0,2021-01-01,,growth
2021-01-19,Flagship Growth,Tech,46.0,5424.047084808409,website,US,Young Pro,80,0.32,0,,430.1890915070725,1300.9690969830372,4.313478500947254,0,2021-01-01,,growth
2021-01-20,Flagship Growth,Tech,34.0,4290.885877622011,website,US,Family,80,0.32,0,,376.50059791977435,1192.6331873989284,4.327171467546853,0,2021-01-01,,growth
2021-01-21,Flagship Growth,Tech,41.0,4834.05537605894,website,US,Young Pro,80,0.32,0,,198.19977180849693,1314.8900670052174,4.3091106054890025,0,2021-01-01,,growth
2021-01-22,Flagship Growth,Tech,39.0,4509.204179198765,website,CA,Young Pro,80,0.32,0,,233.6342994522865,1186.9263217675812,4.341595399253663,0,2021-01-01,,growth
